name,Installed,AgentName
TouchEn nxKey with E2E for 32bit,2023-09-18 07:15,T121080
SignKorea NA Certification Toolkit(인증 프로그램),2023-09-18 07:16,T121080
Microsoft Update Health Tools,2023-09-05 22:53,T121080
카카오톡,2023-09-21 22:46,T121080
Update for Windows 10 for x64-based Systems (KB5001716),2023-10-04 22:56,T121080
Zoom,2023-10-12 05:01,T121080
네이버 웨일,2023-10-10 00:00,T121080
Microsoft OneDrive,2023-10-24 04:47,T121080
Adobe Acrobat (64-bit),2023-10-20 08:13,T121080
Google Chrome,2023-10-20 00:00,T121080
Microsoft Edge,2023-10-23 00:00,T121080
Microsoft Edge WebView2 런타임,2023-10-24 00:00,T121080
"WIZVERA Process Manager 1,0,6,0",2023-09-21 00:00,DESKTOP-0QGS2EE
"Veraport(보안모듈 관리 프로그램) G3 - 3,8,6,6 - x64",2023-09-21 00:00,DESKTOP-0QGS2EE
Update for Windows 10 for x64-based Systems (KB5001716),2023-10-05 17:38,DESKTOP-0QGS2EE
Microsoft OneDrive,2023-10-21 10:55,DESKTOP-0QGS2EE
Google Chrome,2023-10-21 00:00,DESKTOP-0QGS2EE
Microsoft Edge,2023-10-23 00:00,DESKTOP-0QGS2EE
Microsoft Edge WebView2 런타임,2023-10-23 00:00,DESKTOP-0QGS2EE
Mission Control,2023-09-16 13:28,건영의 MacBook Pro
FaceTime,2023-09-16 13:28,건영의 MacBook Pro
QuickTime Player,2023-09-16 13:28,건영의 MacBook Pro
Launchpad,2023-09-16 13:28,건영의 MacBook Pro
Siri,2023-09-16 13:28,건영의 MacBook Pro
Grapher,2023-09-16 13:28,건영의 MacBook Pro
Automator,2023-09-16 13:28,건영의 MacBook Pro
Mail,2023-09-16 13:28,건영의 MacBook Pro
나의 찾기,2023-09-16 13:28,건영의 MacBook Pro
키체인 접근,2023-09-16 13:28,건영의 MacBook Pro
시스템 정보,2023-09-16 13:28,건영의 MacBook Pro
미리보기,2023-09-16 13:28,건영의 MacBook Pro
메시지,2023-09-16 13:28,건영의 MacBook Pro
App Store,2023-09-16 13:28,건영의 MacBook Pro
미리 알림,2023-09-16 13:28,건영의 MacBook Pro
VoiceOver 유틸리티,2023-09-16 13:28,건영의 MacBook Pro
스크린샷,2023-09-16 13:28,건영의 MacBook Pro
팟캐스트,2023-09-16 13:28,건영의 MacBook Pro
스크립트 편집기,2023-09-16 13:28,건영의 MacBook Pro
디지털 컬러 측정기,2023-09-16 13:28,건영의 MacBook Pro
Bluetooth 파일 교환,2023-09-16 13:28,건영의 MacBook Pro
콘솔,2023-09-16 13:28,건영의 MacBook Pro
Boot Camp 지원,2023-09-16 13:28,건영의 MacBook Pro
Time Machine,2023-09-16 13:28,건영의 MacBook Pro
스티커,2023-09-16 13:28,건영의 MacBook Pro
활성 상태 보기,2023-09-16 13:28,건영의 MacBook Pro
이미지 캡처,2023-09-16 13:28,건영의 MacBook Pro
사전,2023-09-16 13:28,건영의 MacBook Pro
체스,2023-09-16 13:28,건영의 MacBook Pro
계산기,2023-09-16 13:28,건영의 MacBook Pro
지도,2023-09-16 13:28,건영의 MacBook Pro
시스템 설정,2023-09-16 13:28,건영의 MacBook Pro
시계,2023-09-16 13:28,건영의 MacBook Pro
서체 관리자,2023-09-16 13:28,건영의 MacBook Pro
AirPort 유틸리티,2023-09-16 13:28,건영의 MacBook Pro
ColorSync 유틸리티,2023-09-16 13:28,건영의 MacBook Pro
디스크 유틸리티,2023-09-16 13:28,건영의 MacBook Pro
Safari,2023-09-16 00:20,건영의 MacBook Pro
Photo Booth,2023-09-16 13:28,건영의 MacBook Pro
Freeform,2023-09-16 13:28,건영의 MacBook Pro
TV,2023-09-16 13:28,건영의 MacBook Pro
오디오 MIDI 설정,2023-09-16 13:28,건영의 MacBook Pro
마이그레이션 지원,2023-09-16 13:28,건영의 MacBook Pro
프린트 센터,2023-09-16 13:28,건영의 MacBook Pro
화면 공유,2023-09-16 13:28,건영의 MacBook Pro
터미널,2023-09-16 13:28,건영의 MacBook Pro
음성 메모,2023-09-16 13:28,건영의 MacBook Pro
캘린더,2023-09-16 13:28,건영의 MacBook Pro
홈,2023-09-16 13:28,건영의 MacBook Pro
도서,2023-09-16 13:28,건영의 MacBook Pro
날씨,2023-09-16 13:28,건영의 MacBook Pro
메모,2023-09-16 13:28,건영의 MacBook Pro
단축어,2023-09-16 13:28,건영의 MacBook Pro
주식,2023-09-16 13:28,건영의 MacBook Pro
사진,2023-09-16 13:28,건영의 MacBook Pro
텍스트 편집기,2023-09-16 13:28,건영의 MacBook Pro
음악,2023-09-16 13:28,건영의 MacBook Pro
연락처,2023-09-16 13:28,건영의 MacBook Pro
카카오톡,2023-09-11 04:21,건영의 MacBook Pro
Numbers,2023-09-13 21:04,건영의 MacBook Pro
Pages,2023-09-13 21:02,건영의 MacBook Pro
XProtect,2023-09-21 15:53,건영의 MacBook Pro
Microsoft Remote Desktop,2023-09-21 21:54,건영의 MacBook Pro
Notion,2023-09-29 08:08,건영의 MacBook Pro
Slack,2023-09-28 22:07,건영의 MacBook Pro
